node_id,node_type,name,match_id,innings_index,over,ball_in_over
ball:CWC_2011_final_ALL:1:36.6,ball,36.6,CWC_2011_final_ALL,1,36,6
over:CWC_2011_final_ALL:1:37,over,37,CWC_2011_final_ALL,1,37,
ball:CWC_2011_final_ALL:1:37.1,ball,37.1,CWC_2011_final_ALL,1,37,1
ball:CWC_2011_final_ALL:1:37.2,ball,37.2,CWC_2011_final_ALL,1,37,2
ball:CWC_2011_final_ALL:1:37.3,ball,37.3,CWC_2011_final_ALL,1,37,3
ball:CWC_2011_final_ALL:1:37.4,ball,37.4,CWC_2011_final_ALL,1,37,4
ball:CWC_2011_final_ALL:1:37.5,ball,37.5,CWC_2011_final_ALL,1,37,5
ball:CWC_2011_final_ALL:1:37.6,ball,37.6,CWC_2011_final_ALL,1,37,6
over:CWC_2011_final_ALL:1:38,over,38,CWC_2011_final_ALL,1,38,
ball:CWC_2011_final_ALL:1:38.1,ball,38.1,CWC_2011_final_ALL,1,38,1
ball:CWC_2011_final_ALL:1:38.2,ball,38.2,CWC_2011_final_ALL,1,38,2
player:Kapugedera,player,Kapugedera,,,,
ball:CWC_2011_final_ALL:1:38.3,ball,38.3,CWC_2011_final_ALL,1,38,3
ball:CWC_2011_final_ALL:1:38.4,ball,38.4,CWC_2011_final_ALL,1,38,4
ball:CWC_2011_final_ALL:1:38.5,ball,38.5,CWC_2011_final_ALL,1,38,5
ball:CWC_2011_final_ALL:1:38.6,ball,38.6,CWC_2011_final_ALL,1,38,6
over:CWC_2011_final_ALL:1:39,over,39,CWC_2011_final_ALL,1,39,
ball:CWC_2011_final_ALL:1:39.1,ball,39.1,CWC_2011_final_ALL,1,39,1
ball:CWC_2011_final_ALL:1:39.2,ball,39.2,CWC_2011_final_ALL,1,39,2
ball:CWC_2011_final_ALL:1:39.3,ball,39.3,CWC_2011_final_ALL,1,39,3
ball:CWC_2011_final_ALL:1:39.4,ball,39.4,CWC_2011_final_ALL,1,39,4
ball:CWC_2011_final_ALL:1:39.5,ball,39.5,CWC_2011_final_ALL,1,39,5
ball:CWC_2011_final_ALL:1:39.6,ball,39.6,CWC_2011_final_ALL,1,39,6
player:Kulasekara,player,Kulasekara,,,,
over:CWC_2011_final_ALL:1:40,over,40,CWC_2011_final_ALL,1,40,
ball:CWC_2011_final_ALL:1:40.1,ball,40.1,CWC_2011_final_ALL,1,40,1
phase:death,phase,death,,,,
ball:CWC_2011_final_ALL:1:40.2,ball,40.2,CWC_2011_final_ALL,1,40,2
