source_id,relation,target_id
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.1,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.2,batsman,player:Upul Tharanga
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.2,bowler,player:Khan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.2,event_type,event:dot
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.2,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.3,batsman,player:Upul Tharanga
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.3,bowler,player:Khan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.3,event_type,event:dot
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.3,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.4,batsman,player:Upul Tharanga
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.4,bowler,player:Khan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.4,event_type,event:dot
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.4,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.5,batsman,player:Upul Tharanga
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.5,bowler,player:Khan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.5,event_type,event:extra
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.5,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.6,batsman,player:Dilshan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.6,bowler,player:Khan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.6,event_type,event:extra
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:0.6,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.1,batsman,player:Dilshan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.1,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.1,event_type,event:dot
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.1,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.2,batsman,player:Dilshan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.2,batsman,player:Upul Tharanga
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.2,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.2,event_type,event:extra
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.2,event_type,event:run
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.2,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.3,batsman,player:Dilshan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.3,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.3,event_type,event:dot
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.3,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.4,batsman,player:Dilshan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.4,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.4,event_type,event:run
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.4,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.5,batsman,player:Dilshan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.5,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.5,event_type,event:dot
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.5,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.6,batsman,player:Dilshan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.6,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.6,event_type,event:dot
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:1.6,phase,phase:powerplay
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.1,batsman,player:Dilshan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.1,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.1,event_type,event:run
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.1,phase,phase:middle
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.2,batsman,player:Dilshan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.2,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.2,event_type,event:dot
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.2,phase,phase:middle
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.3,batsman,player:Dilshan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.3,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.3,event_type,event:run
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.3,phase,phase:middle
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.4,batsman,player:Sangakkara
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.4,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.4,event_type,event:dot
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.4,phase,phase:middle
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.5,batsman,player:Sangakkara
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.5,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.5,event_type,event:dot
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.5,phase,phase:middle
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.6,batsman,player:Sangakkara
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.6,bowler,player:Sreesanth
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.6,event_type,event:dot
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:10.6,phase,phase:middle
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:11.1,batsman,player:Dilshan
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:11.1,bowler,player:Patel
ball:ODI_CWC_2011_final_inning1_SL_commantary_full_cricinfo:1:11.1,event_type,event:run
